"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"EZR",6.47616662212982e-255,2.76853926987268,0.98,0.733,1.56289329091859e-250,"EZR"
"TAGLN2",4.2558746124657e-233,2.36886434869096,0.949,0.548,1.02707022022635e-228,"TAGLN2"
"LMNA",4.89553877303633e-230,3.30563992232051,0.802,0.02,1.18144037209686e-225,"LMNA"
"EMP3",1.94815748298181e-190,2.47372161154602,0.92,0.518,4.70148845367999e-186,"EMP3"
"IGHM",3.91334525071903e-177,-2.27215954163705,0.661,0.934,9.44407609356023e-173,"IGHM"
"CYSTM1",7.87880770182701e-174,1.64737821363082,0.718,0.036,1.90139266268191e-169,"CYSTM1"
"SRGN",5.47966522436484e-169,2.28136519813266,0.907,0.462,1.32240760859597e-164,"SRGN"
"CDKN1A",7.80656485855621e-167,1.98512996699633,0.74,0.065,1.88395829731537e-162,"CDKN1A"
"LITAF",3.62208701594615e-162,1.90089382945539,0.939,0.541,8.74118259558284e-158,"LITAF"
"CREM",4.34918308298022e-157,2.38881292584943,0.727,0.075,1.04958835341562e-152,"CREM"
"CXCR4",4.80180872864926e-141,1.89491097235636,0.971,0.725,1.15882050048493e-136,"CXCR4"
"ARID5A",2.61370798641422e-140,1.34689573446403,0.695,0.065,6.30766148361343e-136,"ARID5A"
"ID3",1.93491800888831e-137,2.32438152334691,0.865,0.366,4.66953763085016e-133,"ID3"
"CALM2",1.97493754759093e-137,1.43160742349578,0.939,0.55,4.76611678360118e-133,"CALM2"
"SKIL",3.74248057315372e-135,1.40626733484158,0.716,0.089,9.03172836719188e-131,"SKIL"
"PIM3",7.07052764358656e-132,1.53657171691953,0.726,0.109,1.70633043622675e-127,"PIM3"
"YWHAZ",1.8858548270209e-131,1.14639072174966,0.977,0.834,4.55113345404954e-127,"YWHAZ"
"IGHV3-15",7.10594168829016e-129,-0.382765477309882,0.846,0.459,1.71487690763506e-124,"IGHV3-15"
"MTRNR2L12",2.24610873058276e-127,-1.85099672045275,0.996,0.997,5.42053419951537e-123,"MTRNR2L12"
"LRRFIP1",4.19212952239242e-125,1.52879305159238,0.908,0.523,1.01168661763896e-120,"LRRFIP1"
"PRNP",1.48097869546879e-124,1.25843857220465,0.607,0.038,3.57404588577482e-120,"PRNP"
"MT-ND4",1.18355869665558e-122,-1.25667447524749,0.999,0.998,2.85628220263892e-118,"MT-ND4"
"TMEM123",2.05074382717407e-122,1.5570843319479,0.819,0.233,4.94906007811919e-118,"TMEM123"
"CD55",2.06021830581484e-122,1.77845796093121,0.866,0.392,4.97192483742295e-118,"CD55"
"TPM4",6.81984294069084e-119,1.52061638381742,0.856,0.333,1.64583269687692e-114,"TPM4"
"ZFP36",6.08111731263652e-116,1.56622070451986,0.938,0.624,1.46755604105857e-111,"ZFP36"
"SAT1",1.87232592761017e-115,1.67607125282903,0.915,0.652,4.51848416110162e-111,"SAT1"
"IDS",2.24605283283445e-115,1.39241750289516,0.847,0.301,5.42039930147939e-111,"IDS"
"TESC",9.44747963995881e-115,2.27367089705478,0.791,0.255,2.27996026151126e-110,"TESC"
"S100A10",1.14417453399287e-113,1.81364585314058,0.849,0.412,2.761236402885e-109,"S100A10"
"S100A11",7.6554082873354e-113,1.88238564319615,0.735,0.194,1.84747968198265e-108,"S100A11"
"NCF1",1.18263470190069e-112,-1.17802004518106,0.74,0.863,2.85405232609693e-108,"NCF1"
"GABARAPL1",1.11631498808353e-111,1.27596983507368,0.524,0.018,2.69400296074198e-107,"GABARAPL1"
"MT-ATP6",1.75469996427324e-109,-1.21383645853536,0.997,0.998,4.23461742378062e-105,"MT-ATP6"
"NFE2L2",6.44821936569504e-108,1.24095483886561,0.698,0.126,1.55614877952318e-103,"NFE2L2"
"MT-CO2",2.77526415205447e-107,-1.08996046443829,0.999,1,6.69754497815305e-103,"MT-CO2"
"SLBP",1.93431655206549e-106,1.31161658149263,0.751,0.19,4.66808613509965e-102,"SLBP"
"RHOA",6.5892474389101e-106,1.10264025231376,0.968,0.715,1.59018308443217e-101,"RHOA"
"RARA",2.32647353711004e-104,1.05207866629777,0.628,0.083,5.61447858710767e-100,"RARA"
"SYAP1",4.37895991731795e-104,1.41580357886125,0.765,0.224,1.05677439684634e-99,"SYAP1"
"CALM1",3.70231780427601e-103,1.11674538076166,0.967,0.743,8.9348035570593e-99,"CALM1"
"H3F3A",4.21905380995094e-103,0.941008329543171,0.982,0.825,1.01818425595546e-98,"H3F3A"
"FYTTD1",1.03206354343485e-102,1.19885397794894,0.735,0.174,2.49067894937132e-98,"FYTTD1"
"TGFB1",2.15447319366276e-102,1.34004492432139,0.793,0.263,5.19939015826633e-98,"TGFB1"
"SPOCK2",2.82813302498043e-102,1.29574811874577,0.885,0.437,6.82513342918527e-98,"SPOCK2"
"IGLC6",5.55187036509193e-101,-1.7754451354406,0.474,0.414,1.33983287520764e-96,"IGLC6"
"KDM6B",1.13053300430584e-99,1.18747981913917,0.696,0.144,2.72831529929127e-95,"KDM6B"
"SARAF",1.95888060694364e-99,1.08602671697454,0.969,0.709,4.72736656873707e-95,"SARAF"
"PAK1",2.31253701718763e-99,0.968984411831558,0.62,0.088,5.5808455835789e-95,"PAK1"
"MT-CYB",7.60938313288845e-99,-1.0895995632435,0.999,1,1.83637243145997e-94,"MT-CYB"
"RALGPS2",1.79927854302319e-97,-1.43779234271507,0.812,0.869,4.34219890787787e-93,"RALGPS2"
"MT-ND4L",4.62404230400036e-97,-1.12369451492612,0.999,0.997,1.11592012922441e-92,"MT-ND4L"
"MT-ND5",9.44693621146788e-97,-1.14399711483286,0.997,1,2.27982911591354e-92,"MT-ND5"
"SLCO4A1",1.52840173124109e-96,0.852191513574603,0.474,0.018,3.68849189800411e-92,"SLCO4A1"
"SGTA",1.25581029010927e-94,1.01772151433399,0.656,0.124,3.03064697312071e-90,"SGTA"
"CD44",3.17938510284294e-94,1.16084875010124,0.901,0.483,7.67281006869086e-90,"CD44"
"MT-CO3",3.34412923336785e-94,-1.05475125524,0.999,1,8.07038707888664e-90,"MT-CO3"
"MYL6",9.78879306783316e-94,0.910655607226635,0.977,0.748,2.36232943106018e-89,"MYL6"
"DUSP2",1.99716666407191e-93,1.91170170775578,0.735,0.23,4.81976231040473e-89,"DUSP2"
"SQSTM1",2.8599146965589e-93,1.24658888261931,0.938,0.651,6.90183213720558e-89,"SQSTM1"
"ANXA2",3.97932531052018e-93,1.39639473677949,0.855,0.449,9.60330577187836e-89,"ANXA2"
"PTMA",9.50693830368346e-92,0.908882320278405,0.982,0.912,2.29430942082793e-87,"PTMA"
"SLC16A3",2.07135525565827e-91,1.0259146156876,0.569,0.073,4.9988016384801e-87,"SLC16A3"
"RPS29",2.56018322120238e-90,0.817048145624499,0.986,0.853,6.17849016772771e-86,"RPS29"
"ADGRE5",6.82884148583337e-90,1.09834744055516,0.732,0.2,1.64800431577617e-85,"ADGRE5"
"IGFBP4",1.92039410312811e-89,1.26331077024553,0.599,0.096,4.63448708907908e-85,"IGFBP4"
"FCMR",4.28502777707021e-89,-1.01368472327399,0.802,0.825,1.03410575344035e-84,"FCMR"
"LGALS3",5.51712486165666e-89,0.992681732115467,0.441,0.017,1.3314477428636e-84,"LGALS3"
"SRSF2",6.97022945009068e-89,1.14685739656346,0.89,0.493,1.68212547319038e-84,"SRSF2"
"TUBB4B",4.35455248704127e-88,1.19738228964072,0.768,0.257,1.05088415169767e-83,"TUBB4B"
"RAP1B",5.29080222700084e-87,0.957832762979979,0.821,0.311,1.27682930144211e-82,"RAP1B"
"BHLHE40",5.7799271419345e-86,1.13023093836946,0.571,0.088,1.39486981716305e-81,"BHLHE40"
"FAM129C",9.10489963734325e-86,-1.28919744961243,0.677,0.825,2.19728542948005e-81,"FAM129C"
"NMB",9.17156827159957e-86,1.36809179182554,0.547,0.076,2.21337457098512e-81,"NMB"
"ABCA6",3.16150993200167e-84,-1.41167082087751,0.579,0.753,7.62967191889963e-80,"ABCA6"
"NDRG1",5.2040450112923e-84,1.01893019101459,0.58,0.094,1.25589218257517e-79,"NDRG1"
"GNG2",4.28134173018568e-83,1.18116556159866,0.846,0.455,1.03321619974571e-78,"GNG2"
"ODC1",1.89673954104075e-81,1.23262567410912,0.819,0.356,4.57740153439363e-77,"ODC1"
"RGS2",2.58205490367559e-81,1.3387427157517,0.679,0.184,6.2312730990403e-77,"RGS2"
"ELL2",1.2915601256111e-80,0.826990328847651,0.439,0.026,3.11692205113726e-76,"ELL2"
"CCR7",1.52809809571134e-80,1.26983222446317,0.871,0.45,3.68775913438018e-76,"CCR7"
"NR3C1",1.27643234453904e-79,1.13958641189738,0.842,0.411,3.08041417707607e-75,"NR3C1"
"HLA-DRA",1.93697533676629e-79,0.804227464892737,0.992,0.921,4.67450258021809e-75,"HLA-DRA"
"SEMA7A",2.68719064583685e-79,0.923594132216816,0.462,0.038,6.48499718559808e-75,"SEMA7A"
"LDHA",1.23804316230921e-78,1.0685157192501,0.767,0.29,2.98776956360082e-74,"LDHA"
"GPR132",2.19671850897296e-78,0.741664391035751,0.499,0.06,5.30134077770444e-74,"GPR132"
"LGMN",2.77928331410501e-78,0.732932826947847,0.353,0.002,6.70724442192962e-74,"LGMN"
"IVNS1ABP",3.31874955171208e-78,0.93228832702899,0.608,0.127,8.00913829314677e-74,"IVNS1ABP"
"RPS27",1.24758537988982e-77,0.794093347288142,0.994,0.965,3.01079779728811e-73,"RPS27"
"PNISR",2.21753268185435e-77,-1.09396130608311,0.793,0.876,5.35157162111909e-73,"PNISR"
"PEA15",4.26270762229528e-77,1.00182058872698,0.645,0.166,1.02871923048852e-72,"PEA15"
"BACH2",8.53798848562614e-77,0.917614845979117,0.707,0.214,2.06047276123616e-72,"BACH2"
"TGIF1",1.52882427972246e-76,1.00684475546049,0.689,0.209,3.68951163425421e-72,"TGIF1"
"HLA-DQA1",2.20996096325021e-76,0.88617415938007,0.978,0.77,5.33329879261174e-72,"HLA-DQA1"
"SESN3",4.59172262257724e-76,1.08965818793639,0.787,0.306,1.10812042050657e-71,"SESN3"
"DUSP4",9.03568940019465e-76,1.09803872915149,0.395,0.017,2.18058292294897e-71,"DUSP4"
"UBE2B",2.14187007189199e-75,0.877835858146705,0.842,0.382,5.16897504449695e-71,"UBE2B"
"MBP",4.20112920796186e-75,1.0051458830862,0.834,0.384,1.01385851175743e-70,"MBP"
"FCER2",1.22972041863793e-74,-0.780278329643747,0.792,0.755,2.96768428629892e-70,"FCER2"
"SDCBP",3.02531969048707e-73,0.856945607010303,0.644,0.169,7.30100400905244e-69,"SDCBP"
"ARID3A",7.62563971118979e-73,0.817855240223965,0.616,0.149,1.84029563150143e-68,"ARID3A"
"RGCC",1.09026178036362e-72,1.25449857639066,0.7,0.23,2.63112875455152e-68,"RGCC"
"PRKAR2A",4.88780061870448e-72,0.805723855702629,0.675,0.199,1.17957292331195e-67,"PRKAR2A"
"PLP2",6.89162272284935e-72,1.0228644899913,0.849,0.435,1.66315531170523e-67,"PLP2"
"MT-CO1",1.85694781543681e-71,-0.907196264910866,0.999,1,4.48137216299366e-67,"MT-CO1"
"MT-ND1",2.05755823179258e-71,-1.04023974791333,0.997,0.998,4.96550528078504e-67,"MT-ND1"
"ATP6V0C",2.28794648730947e-71,0.971494233990431,0.879,0.474,5.52150125782395e-67,"ATP6V0C"
"PPP1CB",5.19346291876313e-71,0.91708691354349,0.654,0.184,1.25333840618511e-66,"PPP1CB"
"SLC7A5",5.73573696749701e-71,0.87514901324543,0.526,0.091,1.38420540236605e-66,"SLC7A5"
"YWHAH",9.52140096474513e-71,1.11865738592121,0.662,0.205,2.29779969482194e-66,"YWHAH"
"MAPK1IP1L",1.92437528127886e-70,0.91062380802326,0.786,0.326,4.64409486631027e-66,"MAPK1IP1L"
"ACSM3",1.06336034950615e-69,1.08833279123731,0.724,0.253,2.56620753146319e-65,"ACSM3"
"AGO2",1.30047906248827e-69,0.545230096981787,0.421,0.053,3.13844612150295e-65,"AGO2"
"MARCH1",1.39430883151485e-69,-1.36703043851109,0.217,0.589,3.36488550309478e-65,"MARCH1"
