"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"IGLV1-44",1.08350589009975e-294,3.15237885887094,0.995,0.089,2.61482476457774e-290,"IGLV1-44"
"IGLV4-3",1.01703440859458e-291,2.68353486679089,0.983,0.079,2.4544091382613e-287,"IGLV4-3"
"IGKC",3.69327844756405e-264,-3.13191474726585,0,0.866,8.91298887750633e-260,"IGKC"
"MTRNR2L8",3.24879979227713e-210,2.342876105397,1,0.517,7.84032853870239e-206,"MTRNR2L8"
"IGHV1-69D",6.8290397266416e-167,-0.78506646284136,0.965,0.504,1.64805215723042e-162,"IGHV1-69D"
"IGHV1-2",4.067737371685e-164,1.23829170559887,0.716,0.059,9.81667059908741e-160,"IGHV1-2"
"LILRB4",6.04309324173767e-151,1.68678064566644,0.876,0.267,1.45837969202855e-146,"LILRB4"
"RHOH",2.4991151526343e-142,-1.92606528700625,0.659,0.939,6.03111459785237e-138,"RHOH"
"LILRA4",1.26107492459796e-126,1.50977340546669,0.841,0.27,3.04335211553225e-122,"LILRA4"
"MT-ATP8",5.96802906539462e-125,1.13271111276922,0.998,0.975,1.44026445435168e-120,"MT-ATP8"
"FLNA",1.42788033872895e-113,1.18664854365305,0.978,0.747,3.44590362145459e-109,"FLNA"
"ZNF331",3.82367109346939e-112,-2.27020898981441,0.177,0.709,9.22766544986968e-108,"ZNF331"
"PDCD1",4.28553897401897e-111,1.2185412613158,0.766,0.263,1.0342291206e-106,"PDCD1"
"MGLL",1.61316668023121e-105,1.13925200945513,0.662,0.13,3.89305514940197e-101,"MGLL"
"EMP3",3.27989167713124e-105,1.17547163775702,0.995,0.856,7.91536258442082e-101,"EMP3"
"CORO1A",2.86231697062734e-104,0.984233023364624,0.983,0.879,6.90762954521497e-100,"CORO1A"
"GLUL",3.01945655195932e-103,-1.32492561211544,0,0.494,7.28685449684342e-99,"GLUL"
"FXYD5",2.61328875231622e-102,0.941876909326401,0.995,0.911,6.30664974596474e-98,"FXYD5"
"DUSP1",2.82722347033434e-101,-2.88324575941848,0.405,0.86,6.82293840095786e-97,"DUSP1"
"CXCR4",3.02126320420129e-101,-1.81555460869765,0.776,0.932,7.29121449069898e-97,"CXCR4"
"IGLC2",3.86344434940329e-99,0.706822257708982,0.896,0.334,9.32365024841496e-95,"IGLC2"
"TESC",1.24290426483884e-95,-2.80697397663954,0.209,0.7,2.99950086233556e-91,"TESC"
"PLP2",4.99027013502408e-95,1.02430371101911,0.975,0.818,1.20430189168536e-90,"PLP2"
"MT-CO1",2.5927407175452e-94,0.833638524842604,1,0.998,6.25706117365182e-90,"MT-CO1"
"COCH",3.03183758328786e-93,1.14117126030746,0.699,0.188,7.31673363974859e-89,"COCH"
"PTPN6",3.63023936102758e-93,1.09223732991482,0.94,0.672,8.76085664996786e-89,"PTPN6"
"SPIB",1.80640708746256e-92,1.22374422426048,0.856,0.495,4.3594022241734e-88,"SPIB"
"PDE4B",2.01033248152269e-92,-1.49089615477736,0.527,0.82,4.85153537765872e-88,"PDE4B"
"TOMM7",4.41638690706083e-92,-0.92697722257652,0.893,0.937,1.06580665228099e-87,"TOMM7"
"PPDPF",8.10147158865139e-92,0.929908068514252,0.975,0.92,1.95512813848924e-87,"PPDPF"
"IDS",1.30046200942895e-91,1.0200997937847,0.983,0.787,3.13840496735488e-87,"IDS"
"BACE2",1.2849491991631e-90,-1.02311078324142,0,0.447,3.1009679023403e-86,"BACE2"
"RGS2",1.66813836217367e-90,-2.09484759809697,0.159,0.676,4.02571830943372e-86,"RGS2"
"JUNB",2.473396793676e-90,-1.68138188192729,0.898,0.963,5.96904848217828e-86,"JUNB"
"FOSB",1.05881701413442e-89,-2.37315639918172,0.246,0.75,2.5552431002106e-85,"FOSB"
"RPL10",5.58712511109734e-88,0.700438612772662,0.995,0.997,1.34834090306112e-83,"RPL10"
"DBI",3.4142209278339e-87,1.12314898319737,0.94,0.78,8.23953936514154e-83,"DBI"
"NR4A2",9.63562410022038e-87,-2.17341040400142,0.269,0.755,2.32536516410618e-82,"NR4A2"
"GPR183",2.80365033242777e-86,-1.6981992659258,0.672,0.82,6.76604934724793e-82,"GPR183"
"CD68",5.24437630795463e-85,0.976456561702681,0.711,0.227,1.26562533439869e-80,"CD68"
"RGS1",6.22633878720763e-83,-1.95742049735483,0.025,0.487,1.50260233951682e-78,"RGS1"
"RHOA",8.13933031323788e-83,0.752172572599398,0.995,0.929,1.9642645844937e-78,"RHOA"
"CST7",9.38406811250328e-82,1.15513359137469,0.779,0.299,2.26465715759042e-77,"CST7"
"HLA-DQA2",1.17142428035201e-81,-1.60122476158278,0.107,0.52,2.8269982157735e-77,"HLA-DQA2"
"TUBA4A",1.20920072517348e-81,-1.39996001673265,0.398,0.753,2.91816411006115e-77,"TUBA4A"
"RGS19",5.91750428963637e-81,0.98090879733936,0.769,0.31,1.42807131021794e-76,"RGS19"
"YPEL5",3.96454636470193e-79,-1.16256242947864,0.831,0.936,9.56763974193516e-75,"YPEL5"
"ARL4A",3.67227774174515e-77,-1.15200717049775,0.085,0.557,8.86230787415357e-73,"ARL4A"
"ACTG1",4.30328685098642e-77,1.04941868821714,0.988,0.953,1.03851221574855e-72,"ACTG1"
"CD69",4.19220798659289e-75,-2.83428621357922,0.299,0.741,1.01170555340446e-70,"CD69"
"SCIMP",7.38354009924309e-75,0.975202617123015,0.779,0.318,1.78186973215033e-70,"SCIMP"
"FOS",1.94796862989526e-74,-2.95183753444526,0.197,0.686,4.70103269452624e-70,"FOS"
"CLIC1",1.97920432499697e-74,0.826170194256824,0.975,0.868,4.7764137975152e-70,"CLIC1"
"POU2F2",3.54467508368138e-74,0.962749114956633,0.938,0.655,8.55436437944829e-70,"POU2F2"
"LAG3",3.91126329410327e-74,1.00686601282329,0.791,0.333,9.43905170765942e-70,"LAG3"
"MYADM",1.22829147398658e-73,-1.53531721758336,0.007,0.409,2.96423581417182e-69,"MYADM"
"YWHAH",1.28248482097352e-73,1.04878265249356,0.848,0.471,3.0950206184554e-69,"YWHAH"
"LINC00926",3.07900720740568e-73,-1.2498952497164,0.092,0.546,7.43056809363212e-69,"LINC00926"
"TMBIM1",5.27065798878827e-73,0.85593226590067,0.856,0.412,1.27196789243427e-68,"TMBIM1"
"MT-CO2",6.45045922681927e-73,0.718098772524952,1,0.998,1.5566893252083e-68,"MT-CO2"
"UBL4A",9.33523191392366e-73,0.682821539270983,0.537,0.104,2.2528715177872e-68,"UBL4A"
"EMD",2.6256373456213e-72,0.83014079944062,0.943,0.676,6.33645060618787e-68,"EMD"
"ACY3",1.66048616275219e-71,0.73805666382901,0.408,0.044,4.00725125656986e-67,"ACY3"
"PDPN",1.46421274215331e-70,0.725178785590334,0.498,0.085,3.53358461063857e-66,"PDPN"
"GABARAP",4.84724765792803e-70,0.775425614894387,0.958,0.773,1.16978627728777e-65,"GABARAP"
"MS4A1",5.83382556032128e-70,1.07236410887633,0.873,0.501,1.40787712247233e-65,"MS4A1"
"C3orf14",1.75288732278348e-68,0.578003911046492,0.448,0.066,4.23024297607336e-64,"C3orf14"
"TRBC2",2.94825851081087e-68,-1.02902304029918,0.167,0.613,7.11503226413986e-64,"TRBC2"
"CD99",3.36106537164664e-68,0.862349535102628,0.965,0.786,8.11125906139484e-64,"CD99"
"BTG1",5.7564390725896e-68,-1.21608094505998,0.985,0.987,1.38920144138805e-63,"BTG1"
"IGLL5",7.0726908129742e-68,-1.7845788168212,0.403,0.538,1.70685247389506e-63,"IGLL5"
"MTRNR2L12",1.29032767052622e-67,-1.38633085654558,0.99,0.989,3.11394776728092e-63,"MTRNR2L12"
"ICAM2",1.36357798720805e-67,0.839234536907714,0.716,0.29,3.29072275652919e-63,"ICAM2"
"AQP3",2.76498593239383e-67,1.17205747956852,0.525,0.125,6.67274055064603e-63,"AQP3"
"HLA-DPB1",2.37727569849858e-66,0.844790550885224,0.998,0.97,5.73707944318661e-62,"HLA-DPB1"
"AFF3",8.45884203902009e-65,-1.11907166420964,0.321,0.724,2.04137234927672e-60,"AFF3"
"PFN1",1.04494703185854e-63,0.769019505219731,0.98,0.941,2.52177067198421e-59,"PFN1"
"JUP",1.26734444176076e-63,0.747826110435496,0.557,0.142,3.05848234130123e-59,"JUP"
"SH3BP2",1.96502475257173e-62,0.772698214750318,0.622,0.201,4.74219423538136e-58,"SH3BP2"
"MSI2",3.75996325434687e-62,-1.09581505638008,0.291,0.672,9.0739193217153e-58,"MSI2"
"CXCR5",1.41354666228658e-61,-1.22368188798476,0.455,0.754,3.41131216009621e-57,"CXCR5"
"PIK3AP1",1.69182022788815e-60,0.868251278172562,0.776,0.406,4.08286975596247e-56,"PIK3AP1"
"TP53I11",5.26099202294719e-60,0.787427440422191,0.813,0.411,1.26963520489784e-55,"TP53I11"
"MAD1L1",6.98686422987691e-60,-1.44503218992111,0.162,0.534,1.68613994459619e-55,"MAD1L1"
"S100A11",8.61353670193689e-60,-1.63996300977229,0.104,0.517,2.07870481227843e-55,"S100A11"
"TENT5C",1.04715532413316e-59,-1.14308561071108,0.274,0.646,2.52709994373055e-55,"TENT5C"
"SSR4",1.83910748334913e-59,0.695795310210904,0.95,0.765,4.43831808956646e-55,"SSR4"
"CKAP4",5.07447257174305e-59,-1.60886288743392,0.276,0.62,1.22462246573875e-54,"CKAP4"
"CYTH4",1.78023332726448e-58,0.704994345499899,0.689,0.257,4.29623708868736e-54,"CYTH4"
"IL4I1",2.01002812077294e-58,1.19282959767619,0.453,0.123,4.85080086386133e-54,"IL4I1"
"S100A10",6.7107992921424e-58,-2.18490672117548,0.313,0.705,1.61951719317273e-53,"S100A10"
"RPS2",3.03385391209822e-57,0.585732830984798,0.995,0.989,7.32159964606664e-53,"RPS2"
"UBC",1.09745982435063e-56,-0.754849770828508,0.998,0.992,2.64849979410537e-52,"UBC"
"CD83",2.85680846811261e-55,-1.38245811784509,0.886,0.939,6.89433587609615e-51,"CD83"
"H3F3A",3.46483923891522e-55,-0.654521673161783,0.983,0.979,8.36169653527409e-51,"H3F3A"
"SLC10A3",7.15484086489506e-55,0.739475878790354,0.694,0.302,1.72667774592512e-50,"SLC10A3"
"SH2D3C",7.61587042294197e-55,0.649329511517812,0.55,0.156,1.83793800916859e-50,"SH2D3C"
"NR4A3",1.09161470483155e-54,-1.3059486994194,0.187,0.575,2.63439376716998e-50,"NR4A3"
"CYCS",6.78643938681002e-54,-0.942510003103116,0.53,0.75,1.63777141721886e-49,"CYCS"
"NSF",8.65290246086718e-54,0.769571796491304,0.786,0.409,2.08820495088108e-49,"NSF"
"H3F3B",1.67769471372389e-53,-0.708407598362369,0.995,0.996,4.04878065262985e-49,"H3F3B"
"PLD4",1.79836222835665e-52,0.738785604942323,0.388,0.07,4.3399875656931e-48,"PLD4"
"IGLJ2",3.05648912606037e-52,0.379851703183063,0.291,0.026,7.37622520792149e-48,"IGLJ2"
"HLA-DRB1",3.36979155727118e-52,0.590051944273797,1,0.982,8.13231796516254e-48,"HLA-DRB1"
"C16orf54",6.48145718084824e-51,0.718377000806588,0.687,0.279,1.56417006145411e-46,"C16orf54"
"KLF3",2.27537466897141e-50,0.708838551704948,0.721,0.307,5.49116168862871e-46,"KLF3"
"BHLHE40",5.41716530005488e-50,0.721739950166142,0.918,0.582,1.30732450186224e-45,"BHLHE40"
"ARHGAP30",9.16323062194906e-50,0.707581997969283,0.856,0.517,2.21136244599497e-45,"ARHGAP30"
"ARHGAP44",1.20727107338737e-49,0.759268405425778,0.764,0.38,2.91350728140574e-45,"ARHGAP44"
"LRFN5",1.8578674402822e-49,0.458913069398815,0.286,0.028,4.48359149363303e-45,"LRFN5"
"VASP",3.08894990759338e-49,0.713527117415534,0.876,0.539,7.45456281199511e-45,"VASP"
"FDFT1",3.56472316279467e-49,0.779306370213412,0.779,0.452,8.60274640877238e-45,"FDFT1"
"MT-ND4",6.00324929942873e-49,0.635165694484458,1,0.973,1.44876415343113e-44,"MT-ND4"
