"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TAGLN2",2.70294480661657e-236,1.46708215530476,0.966,0.611,6.52301670180776e-232,"TAGLN2"
"GPR183",7.66738798797708e-211,1.90742380479077,0.801,0.253,1.85037074313851e-206,"GPR183"
"HLA-A",3.68178266844024e-204,0.906210057109804,0.994,0.917,8.88524611374683e-200,"HLA-A"
"EZR",1.59611096247082e-199,1.36054103883304,0.977,0.78,3.85189458573082e-195,"EZR"
"LMNA",2.27416267727084e-197,2.00114762499863,0.779,0.251,5.48823678905772e-193,"LMNA"
"UBC",7.91537602198798e-192,1.01690054761524,0.989,0.842,1.91021769538636e-187,"UBC"
"TUBB4B",2.3283502750607e-188,1.40258893101465,0.814,0.289,5.61900771880399e-184,"TUBB4B"
"SRGN",6.47727087496251e-188,1.38202289095763,0.933,0.549,1.5631597802547e-183,"SRGN"
"CDKN1A",4.23462662487837e-181,1.54188426863661,0.729,0.207,1.0219424433819e-176,"CDKN1A"
"CD83",4.64807248562931e-174,1.61306137680082,0.934,0.536,1.12171933295692e-169,"CD83"
"RGS2",3.14001661510958e-163,1.63764882302451,0.761,0.261,7.57780209724396e-159,"RGS2"
"CCR7",1.04005690216235e-161,1.60108435234385,0.874,0.504,2.50996932198839e-157,"CCR7"
"ZFP36",6.03128194439623e-161,1.31778782265026,0.968,0.682,1.45552927164114e-156,"ZFP36"
"SQSTM1",3.00167150959119e-156,1.66019304871745,0.921,0.643,7.24393385409643e-152,"SQSTM1"
"JUNB",2.70638080560319e-150,0.880923710251749,0.969,0.622,6.53130879816218e-146,"JUNB"
"PIM3",5.29354311319698e-150,1.32044456833551,0.633,0.165,1.27749075950783e-145,"PIM3"
"NFKBIA",6.63480830381901e-150,1.76955190872214,0.891,0.524,1.60117828796064e-145,"NFKBIA"
"DDX17",2.04608977004665e-148,-1.45262115466954,0.703,0.755,4.93782844205358e-144,"DDX17"
"HERPUD1",2.31658586287635e-148,1.20563552655969,0.859,0.46,5.5906166628795e-144,"HERPUD1"
"CXCR5",3.25667303046256e-144,0.965460927513305,0.784,0.313,7.85932902441531e-140,"CXCR5"
"KDM6B",5.23941130070556e-144,1.31781921838536,0.66,0.2,1.26442712919927e-139,"KDM6B"
"NR4A3",5.0177585456016e-142,1.322455850265,0.589,0.137,1.21093566981003e-137,"NR4A3"
"RGS1",1.42356446062396e-140,1.80970031851725,0.57,0.13,3.4354881128238e-136,"RGS1"
"KLF10",3.70915641493369e-139,1.07807999327265,0.748,0.28,8.95130717615948e-135,"KLF10"
"TUBA1A",5.66875400733948e-137,0.99186061679389,0.904,0.514,1.36804040459124e-132,"TUBA1A"
"PIM2",3.00668436167385e-136,1.10507595632377,0.853,0.445,7.25603137002751e-132,"PIM2"
"FOSB",2.94868199377432e-135,1.68003289695296,0.845,0.417,7.11605425557556e-131,"FOSB"
"KLF4",5.30260357285682e-135,1.6316977042607,0.461,0.063,1.27967732023754e-130,"KLF4"
"FTH1",1.10106395859707e-134,1.13808497001044,0.989,0.88,2.65719765128232e-130,"FTH1"
"TUBA4A",1.33824756413902e-133,1.02086885789824,0.793,0.351,3.2295928465367e-129,"TUBA4A"
"RPLP1",2.15986070882555e-131,0.625544085705457,0.998,0.979,5.2123918486087e-127,"RPLP1"
"RARA",5.88200299246687e-131,0.867921699455301,0.537,0.111,1.41950378217203e-126,"RARA"
"ATP6V0C",6.00535802474031e-130,0.805341132121432,0.903,0.512,1.44927305211058e-125,"ATP6V0C"
"CDK14",1.13547009044158e-129,-1.14889878510019,0.681,0.707,2.74022996926267e-125,"CDK14"
"IGLL5",8.67564771197752e-129,-1.18762721265682,0.541,0.87,2.09369406233153e-124,"IGLL5"
"EMP3",2.09434615727058e-127,1.29785379369841,0.841,0.47,5.05428558134109e-123,"EMP3"
"ADGRE5",7.25524121625578e-127,0.907065211311088,0.659,0.214,1.75090736271901e-122,"ADGRE5"
"MCL1",2.48141741658653e-126,1.04571090160815,0.9,0.547,5.98840465144828e-122,"MCL1"
"RALGPS2",2.17219775970612e-125,-1.48545553012696,0.791,0.86,5.24216485349877e-121,"RALGPS2"
"CXCR4",7.68420512557453e-124,1.26334208840082,0.925,0.662,1.8544292229549e-119,"CXCR4"
"CREM",1.00920352123278e-121,1.3400935326611,0.57,0.155,2.43551085779107e-117,"CREM"
"SAT1",1.12894797572286e-121,1.1040162354996,0.893,0.571,2.72449014981199e-117,"SAT1"
"DYNLL1",1.34571948022256e-121,0.887936208024337,0.79,0.364,3.24762482162111e-117,"DYNLL1"
"PNISR",1.81923255483154e-121,-0.946158553563586,0.754,0.803,4.39035392457497e-117,"PNISR"
"STX7",1.08903033192525e-120,-1.32787647286734,0.551,0.626,2.62815690003521e-116,"STX7"
"PARP15",2.58196523582855e-120,-1.24183831346089,0.498,0.547,6.23105670362504e-116,"PARP15"
"EIF4A3",3.4398787311007e-119,0.794062003011014,0.637,0.206,8.30145934176532e-115,"EIF4A3"
"YPEL5",8.17438679129836e-119,0.752616679343736,0.938,0.604,1.97272476434403e-114,"YPEL5"
"CD55",1.03896332071021e-118,0.785765139684645,0.902,0.534,2.50733018186996e-114,"CD55"
"EIF1",1.27778575372393e-118,0.580639636696454,0.996,0.95,3.08368035946197e-114,"EIF1"
"ARHGAP24",3.42151437404255e-118,-0.92085481349541,0.79,0.789,8.25714063887688e-114,"ARHGAP24"
"BHLHE40",9.0719385169452e-118,1.06335476318935,0.494,0.1,2.18933092229439e-113,"BHLHE40"
"ZNF331",1.37670593353146e-117,0.99283712241764,0.735,0.304,3.32240442939146e-113,"ZNF331"
"GABPB1-AS1",2.03568385609424e-117,-1.27950602277825,0.329,0.522,4.91271584991223e-113,"GABPB1-AS1"
"RILPL2",2.88503848428404e-116,0.95609087888232,0.746,0.329,6.96246337412266e-112,"RILPL2"
"ODC1",3.22323038967687e-116,1.02528712960431,0.805,0.402,7.77862189940719e-112,"ODC1"
"IRF1",1.4635355148858e-115,1.47562433324588,0.833,0.46,3.53195025807389e-111,"IRF1"
"MOB3A",1.87345408285397e-115,0.632201329456328,0.581,0.172,4.52120673815148e-111,"MOB3A"
"RAP1B",2.38835833328049e-115,0.849389501569439,0.742,0.318,5.76382516570582e-111,"RAP1B"
"RGCC",2.31687692074469e-114,0.978762938413987,0.818,0.41,5.59131907283315e-110,"RGCC"
"TGIF1",6.68787811370535e-114,0.809318391700626,0.619,0.199,1.61398562518051e-109,"TGIF1"
"TYROBP",1.0517170196429e-112,1.11327913713398,0.505,0.114,2.5381086835042e-108,"TYROBP"
"SDCBP",1.0074133289945e-111,0.756837531222501,0.645,0.226,2.43119058686243e-107,"SDCBP"
"OGT",5.90858084159421e-111,-1.17206481701441,0.537,0.643,1.42591781450193e-106,"OGT"
"NR4A2",4.44551597268152e-110,1.24149414867096,0.811,0.408,1.07283636968723e-105,"NR4A2"
"DUSP1",1.35525787680488e-109,1.33170339313609,0.909,0.553,3.27064383409321e-105,"DUSP1"
"CYSTM1",1.41722707592222e-108,0.676071421645693,0.494,0.113,3.42019410232309e-104,"CYSTM1"
"GNG2",2.19279648059989e-108,0.900593001571202,0.803,0.413,5.29187574663172e-104,"GNG2"
"HLA-B",6.70709704795435e-108,0.495983012408743,0.999,0.982,1.61862373058282e-103,"HLA-B"
"HIST1H4C",4.52983458718439e-107,1.18569717334153,0.873,0.557,1.09318498092521e-102,"HIST1H4C"
"DUSP2",1.047713617628e-106,1.54905082609729,0.787,0.393,2.52844727342166e-102,"DUSP2"
"MSI2",1.241025054999e-106,-1.03631371861066,0.686,0.687,2.99496576522907e-102,"MSI2"
"ID3",1.465031578029e-106,1.17169188231617,0.81,0.429,3.53556070725738e-102,"ID3"
"NFE2L2",5.29836170146044e-106,0.670756066205565,0.644,0.237,1.27865362941345e-101,"NFE2L2"
"HMOX1",6.7114685188522e-105,0.862754565896576,0.462,0.097,1.6196786976546e-100,"HMOX1"
"BCL3",9.82733074429969e-105,0.617976855371091,0.429,0.08,2.37162972852184e-100,"BCL3"
"IER2",2.51955588659107e-104,1.1624789444399,0.791,0.396,6.08044422111024e-100,"IER2"
"LRRFIP1",4.21774887697214e-104,1.05631743153071,0.806,0.447,1.01786933647969e-99,"LRRFIP1"
"PNN",4.31728065490487e-104,-0.860021617253972,0.623,0.675,1.04188934044819e-99,"PNN"
"CSRNP1",2.02664657092951e-103,0.65609283948476,0.689,0.287,4.89090616962418e-99,"CSRNP1"
"ABCA6",3.50950113489121e-103,-1.04552043152401,0.659,0.697,8.46947908883296e-99,"ABCA6"
"ARID5A",5.25638531954516e-103,0.730794618452155,0.516,0.137,1.26852346916583e-98,"ARID5A"
"ATP5F1B",6.34507929816778e-103,0.786290004990667,0.825,0.462,1.53125798702683e-98,"ATP5F1B"
"ATP6V0D1",1.0252844830579e-102,0.722260470518995,0.584,0.188,2.47431904296362e-98,"ATP6V0D1"
"IGHM",1.52864498302198e-102,-0.959609586369276,0.942,0.95,3.68907893752694e-98,"IGHM"
"TRAF4",2.44279585340328e-102,0.769915900926996,0.612,0.213,5.89519923301814e-98,"TRAF4"
"RASGEF1B",6.87685266342686e-102,0.915846870721055,0.605,0.208,1.6595908532648e-97,"RASGEF1B"
"TMSB4X",1.21845225667334e-101,0.639660831029843,0.994,0.949,2.94049083102977e-97,"TMSB4X"
"HNRNPF",3.98385408232591e-101,0.58916083773253,0.749,0.352,9.61423505687713e-97,"HNRNPF"
"IDS",6.71555723747082e-101,0.750581664317135,0.751,0.353,1.62066542811883e-96,"IDS"
"RAB11FIP1",2.31740079783784e-100,0.73592823277962,0.803,0.416,5.59258334542205e-96,"RAB11FIP1"
"AFF3",2.89661217297761e-100,-0.938521397676174,0.745,0.754,6.99039415704686e-96,"AFF3"
"HLA-C",4.3258255806426e-100,0.588944098608116,0.996,0.937,1.04395148737648e-95,"HLA-C"
"PPP1R15A",4.40811039486593e-100,1.24693187707268,0.856,0.5,1.06380928159299e-95,"PPP1R15A"
"RELB",8.49683785121217e-100,0.624998560135535,0.751,0.356,2.05054187863303e-95,"RELB"
"IGKV1D-39",4.92146840071965e-98,1.39253915882838,0.234,0.002,1.18769796914567e-93,"IGKV1D-39"
"NAMPT",7.84581272780799e-98,0.750107540188733,0.57,0.186,1.8934299856019e-93,"NAMPT"
"MAP3K8",1.53480075479529e-97,0.852638927785174,0.55,0.17,3.70393466154748e-93,"MAP3K8"
"CALM2",3.83549843353577e-97,0.677879776838714,0.896,0.577,9.25620836965188e-93,"CALM2"
"ARHGAP15",4.41961688947131e-97,-0.8316134042698,0.508,0.538,1.06658614393611e-92,"ARHGAP15"
"PNP",1.24782019684567e-96,0.816050713916173,0.477,0.118,3.01136448104765e-92,"PNP"
"ARGLU1",1.5708272831786e-96,-0.804486188450398,0.72,0.747,3.79087748249492e-92,"ARGLU1"
"NFKB2",2.23345779308724e-96,0.813613228755382,0.588,0.204,5.39000369205745e-92,"NFKB2"
"DNAJB6",6.294430953465e-96,0.629759562793454,0.66,0.27,1.51903502199971e-91,"DNAJB6"
"ZC3H12A",1.11279580502625e-95,0.80213491587315,0.494,0.131,2.68551011626985e-91,"ZC3H12A"
"TMEM131L",2.10673237043092e-95,-0.710414311506598,0.53,0.503,5.08417722956094e-91,"TMEM131L"
"S100A11",2.92364318147979e-95,1.33778830008138,0.518,0.162,7.05562808986518e-91,"S100A11"
