"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",129,0.832364613908368,3.15223568031578,1e-10,9.6e-10,3.36842105263158e-10,413,"tags=60%, list=6%, signal=57%","467/1880/4792/2354/8878/9314/9308/1844/1026/3164/4616/2353/3659/3280/1843/8013/23135/7538/969/23645/4929/9592/6303/7071/8553/4170/1958/3726/7124/4814/1326/9516/1846/3725/694/4791/7050/80149/3383/4790/5606/10135/25976/960/4780/1847/9021/5971/4082/602/330/5966/10209/7128/7185/7280/10938/6515/5142/5187/597/5970/6890/2669/10010/8870/4794/51278/10365/6351/2355/595/1959/1316/79155/5734/6446"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",86,0.730501294965853,2.60735225430954,1e-10,9.6e-10,3.36842105263158e-10,841,"tags=47%, list=12%, signal=41%","467/4792/2354/8878/3164/2353/3659/3337/3301/7277/3726/3162/694/3383/10018/9188/10105/1983/6236/7009/262/6890/226/7037/5580/7832/4245/578/6184/6648/637/10963/6415/9296/4067/10950/27161/54107/682/1267"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",92,0.706093394645585,2.54924834069705,1e-10,9.6e-10,3.36842105263158e-10,537,"tags=39%, list=8%, signal=37%","467/1026/2353/1843/7538/1649/7852/23645/8553/5292/3162/3725/694/3423/302/25976/2908/2597/54541/3669/7128/6515/8870/9590/2355/7167/3939/1316/226/10397/10370/3309/5230/6478/23210/4502"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",95,0.685457996831193,2.48071962545574,1e-10,9.6e-10,3.36842105263158e-10,795,"tags=41%, list=12%, signal=37%","467/4000/8878/5366/1026/4616/3659/969/1649/3301/6303/4170/7124/5914/3162/3725/10018/960/8682/330/3669/2879/5970/6890/8870/7417/595/5058/598/6647/3958/7832/6309/6648/637/10950/2107/7077/3315"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",140,0.64133367715594,2.44696124347485,1e-10,9.6e-10,3.36842105263158e-10,926,"tags=40%, list=14%, signal=35%","8878/1026/1649/7852/23645/8553/7277/5052/4860/3475/3329/5606/10135/8140/2717/3422/2597/54541/6515/3336/10797/7167/811/3939/27230/226/6510/7037/5641/3309/5230/3638/7832/8894/6309/10212/6184/6503/7184/11151/3157/10963/2805/2107/51382/2023/6509/4793/26136/81873/5478/7296/5861/3313/10197/7494"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",76,0.68165835204359,2.38387188415701,2.87340542856635e-10,2.29872434285308e-09,8.06569944860729e-10,755,"tags=45%, list=11%, signal=40%","1880/5996/4792/1236/1026/3659/2014/969/3383/1604/4790/10135/391/7133/5142/3665/5970/11047/29933/1316/5734/490/3656/6402/7832/3732/55829/958/6541/6004/1536/255488/4067/2773"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",118,0.605841145790016,2.25216395169822,2.51355990326882e-09,1.72358393367005e-08,6.04766292515806e-09,618,"tags=29%, list=9%, signal=27%","467/6281/9314/1026/2353/1649/23645/6303/7040/3162/4814/3725/694/9618/6520/1263/54541/6236/6768/2872/6890/10140/8870/51278/23479/5900/10397/10769/7832/3732/677/578/3094/6004"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",126,0.532790346252446,2.01338345922716,7.48087459843055e-07,4.48852475905833e-06,1.57492096809064e-06,826,"tags=33%, list=12%, signal=29%","4792/1026/3659/969/3105/5292/4860/694/3383/4790/10135/84159/10124/9021/3669/7128/5142/10797/3106/9636/3665/6890/4600/4599/567/57169/256586/3394/51056/3117/4502/972/958/8651/6648/3663/64135/7726/3587/3433/5696"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",98,0.567986015481214,2.05966939619892,1.16366158637587e-06,6.20619512733795e-06,2.17761232538174e-06,742,"tags=39%, list=11%, signal=35%","9308/4616/8553/4953/10970/5292/1326/4860/9144/8784/7293/960/10124/51429/7133/7185/6515/2879/399/5621/64332/1316/8530/23710/10397/6510/598/79026/3394/5339/6402/22822/6004/1522/8651/123/6050/4641"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",40,0.706037311942707,2.17918192347735,1.96489828139957e-06,9.43151175071793e-06,3.30930236867296e-06,405,"tags=35%, list=6%, signal=33%","4616/2014/6303/7040/3725/7431/960/3956/7128/3487/2669/2316/11010/7171"
